RegionId,Year,NationalityId,WeightPercent
eastern_belarus,1700,belarusian,55.2779
eastern_belarus,1700,czech,0.5026
eastern_belarus,1700,english,0.1005
eastern_belarus,1700,french,0.2010
eastern_belarus,1700,german,1.5076
eastern_belarus,1700,hungarian,0.1005
eastern_belarus,1700,italian,0.2010
eastern_belarus,1700,jewish,18.0909
eastern_belarus,1700,latvian,2.0101
eastern_belarus,1700,lithuanian,3.0151
eastern_belarus,1700,polish,12.0606
eastern_belarus,1700,russian,5.0252
eastern_belarus,1700,swedish,0.4020
eastern_belarus,1700,tatar,0.5000
eastern_belarus,1700,ukrainian,1.0050
eastern_belarus,1897,belarusian,49.6013
eastern_belarus,1897,czech,0.1984
eastern_belarus,1897,english,0.0992
eastern_belarus,1897,french,0.0992
eastern_belarus,1897,german,0.3968
eastern_belarus,1897,italian,0.0992
eastern_belarus,1897,jewish,24.8006
eastern_belarus,1897,latvian,0.5952
eastern_belarus,1897,lithuanian,0.4960
eastern_belarus,1897,polish,7.9362
eastern_belarus,1897,russian,14.8803
eastern_belarus,1897,tatar,0.5000
eastern_belarus,1897,ukrainian,0.2976
eastern_belarus,1931,belarusian,54.9448
eastern_belarus,1931,czech,0.1998
eastern_belarus,1931,english,0.0999
eastern_belarus,1931,french,0.0999
eastern_belarus,1931,german,0.4995
eastern_belarus,1931,italian,0.0999
eastern_belarus,1931,jewish,11.9880
eastern_belarus,1931,latvian,0.3996
eastern_belarus,1931,lithuanian,0.2997
eastern_belarus,1931,polish,3.9960
eastern_belarus,1931,russian,24.9749
eastern_belarus,1931,tatar,0.4000
eastern_belarus,1931,ukrainian,1.9980
eastern_belarus,1939,belarusian,54.9448
eastern_belarus,1939,czech,0.1998
eastern_belarus,1939,english,0.0999
eastern_belarus,1939,french,0.0999
eastern_belarus,1939,german,0.4995
eastern_belarus,1939,italian,0.0999
eastern_belarus,1939,jewish,11.9880
eastern_belarus,1939,latvian,0.3996
eastern_belarus,1939,lithuanian,0.2997
eastern_belarus,1939,polish,3.9960
eastern_belarus,1939,russian,24.9749
eastern_belarus,1939,tatar,0.4000
eastern_belarus,1939,ukrainian,1.9980
eastern_belarus,1945,belarusian,60.0000
eastern_belarus,1945,czech,0.2000
eastern_belarus,1945,english,0.1000
eastern_belarus,1945,french,0.1000
eastern_belarus,1945,german,0.5000
eastern_belarus,1945,italian,0.1000
eastern_belarus,1945,jewish,1.0000
eastern_belarus,1945,latvian,0.3000
eastern_belarus,1945,lithuanian,0.4000
eastern_belarus,1945,polish,5.0000
eastern_belarus,1945,russian,30.0000
eastern_belarus,1945,tatar,0.3000
eastern_belarus,1945,ukrainian,2.0000
eastern_belarus,1950,belarusian,62.8422
eastern_belarus,1950,czech,0.0998
eastern_belarus,1950,english,0.0998
eastern_belarus,1950,french,0.0499
eastern_belarus,1950,german,0.2993
eastern_belarus,1950,italian,0.0499
eastern_belarus,1950,jewish,0.4988
eastern_belarus,1950,latvian,0.1995
eastern_belarus,1950,lithuanian,0.1995
eastern_belarus,1950,polish,2.9925
eastern_belarus,1950,russian,30.9225
eastern_belarus,1950,tatar,0.2500
eastern_belarus,1950,ukrainian,1.4963
eastern_belarus,1990,belarusian,65.1305
eastern_belarus,1990,czech,0.1002
eastern_belarus,1990,english,0.1002
eastern_belarus,1990,french,0.0501
eastern_belarus,1990,german,0.2004
eastern_belarus,1990,italian,0.0501
eastern_belarus,1990,jewish,0.3006
eastern_belarus,1990,latvian,0.1002
eastern_belarus,1990,lithuanian,0.2004
eastern_belarus,1990,polish,2.5050
eastern_belarus,1990,russian,30.0603
eastern_belarus,1990,tatar,0.2000
eastern_belarus,1990,ukrainian,1.0020
eastern_belarus,2027,austrian,0.0501
eastern_belarus,2027,belarusian,65.0976
eastern_belarus,2027,czech,0.1002
eastern_belarus,2027,english,0.3505
eastern_belarus,2027,french,0.1002
eastern_belarus,2027,german,0.1502
eastern_belarus,2027,hungarian,0.0501
eastern_belarus,2027,italian,0.1502
eastern_belarus,2027,jewish,0.1502
eastern_belarus,2027,latvian,0.1502
eastern_belarus,2027,lithuanian,0.2003
eastern_belarus,2027,polish,2.5038
eastern_belarus,2027,romanian,0.1002
eastern_belarus,2027,russian,29.0437
eastern_belarus,2027,slovak,0.0501
eastern_belarus,2027,swedish,0.0501
eastern_belarus,2027,tatar,0.2000
eastern_belarus,2027,ukrainian,1.5023
eastern_galicia,1700,armenian,3.0000
eastern_galicia,1700,bulgarian,0.0500
eastern_galicia,1700,czech,0.9677
eastern_galicia,1700,french,0.3870
eastern_galicia,1700,german,1.4516
eastern_galicia,1700,greek,1.0000
eastern_galicia,1700,hungarian,1.9354
eastern_galicia,1700,italian,0.7742
eastern_galicia,1700,jewish,14.5151
